threads, trials, probability, megatrials/sec
 1,        1, 100.00%,   1.32
 1,       10,  20.00%,   7.83
 1,      100,  30.00%,  14.00
 1,     1000,  27.30%,  14.88
 1,    10000,  29.13%,   7.50
 1,   100000,  29.25%,   9.78
 1,   500000,  29.14%,   7.76
 1,  1000000,  29.09%,  14.45
 2,        1,   0.00%,   0.24
 2,       10,  40.00%,   5.10
 2,      100,  30.00%,  11.65
 2,     1000,  29.70%,  16.36
 2,    10000,  29.30%,  11.90
 2,   100000,  29.08%,  15.92
 2,   500000,  29.03%,  15.76
 2,  1000000,  29.09%,  27.36
 4,        1,   0.00%,   0.33
 4,       10,  20.00%,   4.41
 4,      100,  27.00%,  11.85
 4,     1000,  29.60%,  22.38
 4,    10000,  29.00%,  23.47
 4,   100000,  29.16%,  27.07
 4,   500000,  29.13%,  28.96
 4,  1000000,  29.12%,  43.46
 8,        1,   0.00%,   0.36
 8,       10,  30.00%,   2.07
 8,      100,  28.00%,  26.43
 8,     1000,  27.50%,  65.24
 8,    10000,  29.16%,  83.34
 8,   100000,  29.12%,  51.21
 8,   500000,  29.17%,  41.18
 8,  1000000,  29.18%,  44.00
12,        1, 100.00%,   0.00
12,       10,  30.00%,   0.00
12,      100,  29.00%,   0.03
12,     1000,  28.90%,   0.30
12,    10000,  28.98%,   1.86
12,   100000,  29.03%,  14.96
12,   500000,  29.21%,  34.74
12,  1000000,  29.05%,  39.00
16,        1,   0.00%,   0.00
16,       10,  10.00%,   0.00
16,      100,  27.00%,   0.02
16,     1000,  30.50%,   0.22
16,    10000,  28.80%,   2.43
16,   100000,  29.13%,  14.49
16,   500000,  29.11%,  34.34
16,  1000000,  29.11%,  44.51
20,        1, 100.00%,   0.00
20,       10,  40.00%,   0.00
20,      100,  24.00%,   0.01
20,     1000,  29.00%,   0.19
20,    10000,  29.06%,   1.63
20,   100000,  29.04%,  16.43
20,   500000,  29.05%,  32.03
20,  1000000,  29.15%,  47.68
24,        1,   0.00%,   0.00
24,       10,  30.00%,   0.00
24,      100,  31.00%,   0.02
24,     1000,  29.80%,   0.28
24,    10000,  28.60%,   2.62
24,   100000,  29.12%,  15.17
24,   500000,  29.02%,  34.71
24,  1000000,  29.05%,  49.14
32,        1,   0.00%,   0.01
32,       10,  10.00%,   0.08
32,      100,  26.00%,   0.51
32,     1000,  30.70%,   6.61
32,    10000,  28.74%,  18.80
32,   100000,  28.98%,  71.51
32,   500000,  29.07%,  79.96
32,  1000000,  29.10%,  80.38
