    1024,    8,        128,      0.020
    1024,   16,         64,      0.013
    1024,   32,         32,      0.019
    1024,   64,         16,      0.019
    1024,  128,          8,      0.016
    1024,  256,          4,      0.016
    1024,  512,          2,      0.015
    4096,    8,        512,      0.068
    4096,   16,        256,      0.074
    4096,   32,        128,      0.080
    4096,   64,         64,      0.070
    4096,  128,         32,      0.059
    4096,  256,         16,      0.064
    4096,  512,          8,      0.082
   16384,    8,       2048,      0.252
   16384,   16,       1024,      0.238
   16384,   32,        512,      0.262
   16384,   64,        256,      0.181
   16384,  128,        128,      0.217
   16384,  256,         64,      0.216
   16384,  512,         32,      0.241
   65536,    8,       8192,      0.615
   65536,   16,       4096,      1.057
   65536,   32,       2048,      0.767
   65536,   64,       1024,      0.886
   65536,  128,        512,      1.180
   65536,  256,        256,      0.781
   65536,  512,        128,      0.985
  262144,    8,      32768,      0.699
  262144,   16,      16384,      0.743
  262144,   32,       8192,      0.918
  262144,   64,       4096,      0.935
  262144,  128,       2048,      0.936
  262144,  256,       1024,      0.912
  262144,  512,        512,      0.929
 1048576,    8,     131072,      1.696
 1048576,   16,      65536,      2.275
 1048576,   32,      32768,      3.312
 1048576,   64,      16384,      3.816
 1048576,  128,       8192,      3.424
 1048576,  256,       4096,      3.096
 1048576,  512,       2048,      3.604
 2097152,    8,     262144,      2.073
 2097152,   16,     131072,      2.884
 2097152,   32,      65536,      4.521
 2097152,   64,      32768,      4.265
 2097152,  128,      16384,      5.237
 2097152,  256,       8192,      5.437
 2097152,  512,       4096,      4.397
 4194304,    8,     524288,      2.358
 4194304,   16,     262144,      3.565
 4194304,   32,     131072,      5.770
 4194304,   64,      65536,      6.396
 4194304,  128,      32768,      6.632
 4194304,  256,      16384,      7.012
 4194304,  512,       8192,      6.781
 8388608,    8,    1048576,      2.486
 8388608,   16,     524288,      4.413
 8388608,   32,     262144,      6.958
 8388608,   64,     131072,      8.979
 8388608,  128,      65536,     10.207
 8388608,  256,      32768,      9.250
 8388608,  512,      16384,      9.541
