    1024,   32,         32,      0.014
    1024,   64,         16,      0.014
    1024,  256,          4,      0.009
    4096,   32,        128,      0.063
    4096,   64,         64,      0.050
    4096,  256,         16,      0.054
   16384,   32,        512,      0.232
   16384,   64,        256,      0.216
   16384,  256,         64,      0.189
   65536,   32,       2048,      0.595
   65536,   64,       1024,      0.718
   65536,  256,        256,      0.903
  262144,   32,       8192,      0.806
  262144,   64,       4096,      0.819
  262144,  256,       1024,      0.897
 1048576,   32,      32768,      2.116
 1048576,   64,      16384,      2.314
 1048576,  256,       4096,      2.755
 2097152,   32,      65536,      2.620
 2097152,   64,      32768,      3.354
 2097152,  256,       8192,      4.322
 4194304,   32,     131072,      3.051
 4194304,   64,      65536,      4.788
 4194304,  256,      16384,      4.744
 8388608,   32,     262144,      3.475
 8388608,   64,     131072,      5.385
 8388608,  256,      32768,      6.397
